County,SecondDate,Cases_Change,Cases_Change%,Cases_Level_x,Transit_Change,Transit_Change%,Transit_Level,Cases_Level_y,Driving_Change,Driving_Change%,Driving_Level,Cases_Level,Walking_Change,Walking_Change%,Walking_Level,Table_Change,Table_Change%,Table_Level
80,Monroe,2020-03-25,-13,-0.52,12,-2.240000000000002,-0.055749128919860676,37.94,12,3.4299999999999997,0.0669921875,54.63,12,2.8599999999999994,0.047413793103448267,63.18,0.0,0.0,0.0
81,Nassau,2020-03-25,-11,-0.02576112412177986,416,-1.8300000000000018,-0.07187745483110769,23.63,416,-4.07,-0.08720805656738805,42.6,416,-12.14,-0.19121121436446684,51.35,0.0,0.0,0.0
82,New York,2020-03-25,37,0.09135802469135802,442,-0.5700000000000003,-0.07045735475896171,7.52,442,-1.0899999999999999,-0.055527254202750884,18.54,442,-1.6300000000000008,-0.18314606741573042,7.27,0.0,0.0,0.0
83,Onondaga,2020-03-25,14,2.0,21,4.240000000000002,0.09055958991883814,51.06,21,3.3800000000000026,0.06886715566422173,52.46,21,7.219999999999999,0.20139470013946997,43.07,0.0,0.0,0.0
84,Queens,2020-03-25,171,0.20381406436233612,1010,-1.2800000000000011,-0.06422478675363778,18.65,1010,-2.960000000000001,-0.06888526879218061,40.01,1010,-8.579999999999998,-0.1967438660857601,35.03,0.0,0.0,0.0
85,Richmond,2020-03-25,-90,-0.45,110,-2.0700000000000003,-0.07729648991784915,24.71,110,-3.009999999999998,-0.061241098677517765,46.14,110,-9.269999999999996,-0.1465380967435978,53.99,0.0,0.0,0.0
86,Suffolk,2020-03-25,-42,-0.0995260663507109,380,0.6799999999999997,0.01715006305170239,40.33,380,-5.270000000000003,-0.0940567553096556,50.76,380,-22.239999999999995,-0.24659053110100893,67.95,0.0,0.0,0.0
87,Westchester,2020-03-25,-197,-0.19759277833500502,800,-1.9200000000000017,-0.07043286867204701,25.34,800,-3.9200000000000017,-0.08651511807548005,41.39,800,-11.120000000000005,-0.17926809608254077,50.91,0.0,0.0,0.0
88,Albany,2020-03-26,13,2.1666666666666665,19,-5.649999999999999,-0.13851434175042898,35.14,19,4.969999999999999,0.1042584434654919,52.64,19,9.199999999999996,0.1716738197424892,62.79,0.0,0.0,0.0
89,Bronx,2020-03-26,227,0.37152209492635024,838,1.6600000000000001,0.06189410887397465,28.48,838,3.230000000000004,0.06798568722374246,50.74,838,5.419999999999995,0.1173160173160172,51.62,0.0,0.0,0.0
90,Erie,2020-03-26,76,9.5,84,-1.1700000000000017,-0.031715912171320186,35.72,84,2.450000000000003,0.046524876566654064,55.11,84,-7.689999999999998,-0.09546865301055242,72.86,0.0,0.0,0.0
91,Kings,2020-03-26,-24,-0.03080872913992298,755,0.8200000000000003,0.0401370533529124,21.25,755,3.6700000000000017,0.0819196428571429,48.47,755,7.980000000000004,0.23892215568862288,41.38,0.0,0.0,0.0
92,Monroe,2020-03-26,18,1.5,30,3.4000000000000057,0.08961518186610454,41.34,30,4.089999999999996,0.07486728903532851,58.72,30,9.410000000000004,0.14893953782842678,72.59,0.0,0.0,0.0
93,Nassau,2020-03-26,213,0.5120192307692307,629,1.75,0.0740584003385527,25.38,629,4.649999999999999,0.10915492957746475,47.25,629,12.660000000000004,0.24654333008763396,64.01,0.0,0.0,0.0
94,New York,2020-03-26,100,0.22624434389140272,542,0.4800000000000004,0.06382978723404262,8.0,542,1.0700000000000003,0.057713052858683944,19.61,542,1.450000000000001,0.19944979367262738,8.72,0.0,0.0,0.0
95,Onondaga,2020-03-26,9,0.42857142857142855,30,-6.550000000000004,-0.12828045436741098,44.51,30,4.899999999999999,0.09340449866565,57.36,30,3.1799999999999997,0.07383329463663803,46.25,0.0,0.0,0.0
96,Queens,2020-03-26,228,0.22574257425742575,1238,0.370000000000001,0.01983914209115287,19.02,1238,2.9299999999999997,0.07323169207698076,42.94,1238,7.850000000000001,0.22409363402797605,42.88,0.0,0.0,0.0
97,Richmond,2020-03-26,54,0.4909090909090909,164,1.3499999999999979,0.05463375151760412,26.06,164,4.950000000000003,0.10728218465539668,51.09,164,11.949999999999996,0.2213372846823485,65.94,0.0,0.0,0.0
98,Suffolk,2020-03-26,95,0.25,475,0.12000000000000455,0.0029754525167370333,40.45,475,7.140000000000001,0.14066193853427897,57.9,475,19.83,0.2918322295805739,87.78,0.0,0.0,0.0
99,Westchester,2020-03-26,453,0.56625,1253,2.1000000000000014,0.08287292817679563,27.44,1253,4.68,0.1130707900459048,46.07,1253,12.420000000000002,0.24395992928697707,63.33,0.0,0.0,0.0
100,Albany,2020-03-27,-3,-0.15789473684210525,16,9.18,0.26124075128059193,44.32,16,8.04,0.15273556231003038,60.68,16,16.949999999999996,0.2699474438604873,79.74,0.0,0.0,0.0
101,Bronx,2020-03-27,-9,-0.010739856801909307,829,1.7300000000000004,0.06074438202247193,30.21,829,6.509999999999998,0.12830114308238072,57.25,829,5.910000000000004,0.11449050755521123,57.53,0.0,0.0,0.0
102,Erie,2020-03-27,-45,-0.5357142857142857,39,5.980000000000004,0.1674132138857784,41.7,39,7.18,0.13028488477590275,62.29,39,15.010000000000005,0.20601152895964872,87.87,0.0,0.0,0.0
103,Kings,2020-03-27,351,0.4649006622516556,1106,1.1999999999999993,0.056470588235294085,22.45,1106,4.0,0.08252527336496802,52.47,1106,5.25,0.12687288545190914,46.63,0.0,0.0,0.0
